country,SuicideRate_BothSexes_RatePer100k_2021,SuicideRate_Male_RatePer100k_2021,SuicideRate_Female_RatePer100k_2021,SuicideRate_BothSexes_RatePer100k_2020,SuicideRate_Male_RatePer100k_2020,SuicideRate_Female_RatePer100k_2020,SuicideRate_BothSexes_RatePer100k_2019,SuicideRate_Male_RatePer100k_2019,SuicideRate_Female_RatePer100k_2019,latitude,longitude
Israel,5.15,8.36,1.97,5.36,8.7,2.04,5.3,8.4,2.3,30.8124247,34.8594762
Austria,14.34,22.34,6.55,14.92,23.15,6.91,14.6,22.8,6.7,47.59397,14.12456
Belarus,20.44,35.68,7.16,20.14,35.07,7.13,21.2,36.7,7.7,53.4250605,27.6971358
Switzerland,11.72,17.43,6.03,11.48,17.03,5.97,14.5,20.2,9.0,46.7985624,8.2319736
Sierra Leone,5.09,6.91,3.29,5.08,6.88,3.3,6.7,8.3,5.1,8.6400349,-11.8400269
Laos,5.23,7.58,2.85,5.28,7.64,2.9,5.4,7.6,3.2,20.0171109,103.378253
Turkmenistan,9.72,14.57,4.65,9.73,14.58,4.67,5.7,8.8,2.7,39.3763807,59.3924609
Libya,5.52,7.62,3.29,5.57,7.66,3.35,4.5,6.0,2.9,26.8234472,18.1236723
Kyrgyzstan,9.25,14.71,3.92,9.17,14.53,3.95,7.4,11.7,3.2,41.5089324,74.724091
Paraguay,5.8,8.63,2.91,5.91,8.79,2.97,6.0,8.7,3.2,-23.3165935,-58.1693445
Nicaragua,5.72,8.91,2.6,5.75,8.81,2.75,4.4,6.9,1.9,12.6090157,-85.2936911
Bulgaria,13.3,20.72,6.34,13.45,21.13,6.23,9.7,15.3,4.4,42.6073975,25.4856617
Serbia,15.91,23.78,8.07,16.46,24.93,8.04,11.4,16.6,6.3,44.1534121,20.55144
El Salvador,8.32,13.31,3.92,8.11,12.95,3.84,6.1,10.5,2.1,13.8000382,-88.9140683
Republic of the Congo,9.57,14.47,4.72,9.56,14.42,4.76,6.5,9.5,3.5,-0.7264327,15.6419155
Denmark,11.27,16.26,6.33,11.71,16.88,6.59,10.7,14.9,6.5,55.670249,10.3333283
Singapore,7.75,10.19,5.21,8.15,10.89,5.3,11.2,15.0,7.1,1.357107,103.8194992
Lebanon,0.94,1.18,0.69,0.93,1.18,0.69,2.8,3.8,1.7,33.8750629,35.843409
Finland,15.67,23.96,7.58,16.38,25.02,7.96,15.3,23.2,7.6,63.2467777,25.9209164
Liberia,6.66,9.37,3.86,6.54,9.2,3.81,4.5,5.6,3.3,5.7499721,-9.3658524
Norway,11.68,16.4,6.86,12.22,17.36,6.98,11.8,15.8,7.7,61.1529386,8.7876653
Slovakia,12.34,21.31,3.79,12.43,21.49,3.78,12.1,21.2,3.4,48.7411522,19.4528646
Palestine,0.78,1.24,0.31,0.77,1.2,0.32,,,,31.7621153,-95.6307891
Central African Republic,11.64,18.72,4.83,11.74,18.88,4.85,12.3,19.6,5.2,7.0323598,19.9981227
